Sort,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Genome Composition,Last Change,MSL of Last Change,Proposal for Last Change ,Taxon History URL,
5127,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Calvusvirinae,Umbravirus,,Carrot mottle mimic virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005267,
5128,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Calvusvirinae,Umbravirus,,Carrot mottle virus,ssRNA(+),"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202005268,
5129,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Calvusvirinae,Umbravirus,,Ethiopian tobacco bushy top virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005269,
5130,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Calvusvirinae,Umbravirus,,Groundnut rosette virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005270,
5131,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Calvusvirinae,Umbravirus,,Ixeridium yellow mottle virus 2,ssRNA(+),"New,",36,2020.034P.R.Umbravirus_2nsp.zip,ICTVonline=202009878,
5132,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Calvusvirinae,Umbravirus,,Lettuce speckles mottle virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005271,
5133,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Calvusvirinae,Umbravirus,,Opium poppy mosaic virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005272,
5134,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Calvusvirinae,Umbravirus,,Patrinia mild mottle virus,ssRNA(+),"New,",36,2020.034P.R.Umbravirus_2nsp.zip,ICTVonline=202009879,
5135,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Calvusvirinae,Umbravirus,,Pea enation mosaic virus 2,ssRNA(+),"Moved,Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202005273,
5136,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Calvusvirinae,Umbravirus,,Tobacco bushy top virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005274,
5137,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Calvusvirinae,Umbravirus,,Tobacco mottle virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005275,
5138,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Alphacarmovirus,,Adonis mosaic virus,ssRNA(+),"New,",36,2020.035P.R.Alphacarmovirus_1nsp.zip,ICTVonline=202009897,
5139,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Alphacarmovirus,,Angelonia flower break virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005195,
5140,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Alphacarmovirus,,Calibrachoa mottle virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005196,
5141,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Alphacarmovirus,,Carnation mottle virus,ssRNA(+),"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202005197,
5142,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Alphacarmovirus,,Honeysuckle ringspot virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005198,
5143,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Alphacarmovirus,,Nootka lupine vein clearing virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005199,
5144,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Alphacarmovirus,,Pelargonium flower break virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005200,
5145,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Alphacarmovirus,,Saguaro cactus virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005201,
5146,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Alphanecrovirus,,Olive latent virus 1,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005203,
5147,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Alphanecrovirus,,Olive mild mosaic virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005204,
5148,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Alphanecrovirus,,Potato necrosis virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202006636,
5149,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Alphanecrovirus,,Tobacco necrosis virus A,ssRNA(+),"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202005205,
5150,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Aureusvirus,,Cucumber leaf spot virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005207,
5151,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Aureusvirus,,Elderberry aureusvirus 1,ssRNA(+),"New,",36,2020.036P.R.Aureusvirus_1nsp.zip,ICTVonline=202009900,
5152,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Aureusvirus,,Johnsongrass chlorotic stripe mosaic virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005208,
5153,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Aureusvirus,,Maize white line mosaic virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005209,
5154,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Aureusvirus,,Pothos latent virus,ssRNA(+),"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202005210,
5155,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Aureusvirus,,Yam spherical virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005211,
5156,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Avenavirus,,Oat chlorotic stunt virus,ssRNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202005213,
5157,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Betacarmovirus,,Cardamine chlorotic fleck virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005215,
5158,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Betacarmovirus,,Hibiscus chlorotic ringspot virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005216,
5159,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Betacarmovirus,,Japanese iris necrotic ring virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005217,
5160,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Betacarmovirus,,Turnip crinkle virus,ssRNA(+),"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202005218,
5161,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Betanecrovirus,,Beet black scorch virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005220,
5162,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Betanecrovirus,,Leek white stripe virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005221,
5163,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Betanecrovirus,,Tobacco necrosis virus D,ssRNA(+),"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202005222,
5164,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Gallantivirus,,Galinsoga mosaic virus,ssRNA(+),"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202005228,
5165,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Gammacarmovirus,,Cowpea mottle virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005230,
5166,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Gammacarmovirus,,Melon necrotic spot virus,ssRNA(+),"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202005231,
5167,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Gammacarmovirus,,Pea stem necrosis virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005232,
5168,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Gammacarmovirus,,Soybean yellow mottle mosaic virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005233,
5169,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Macanavirus,,Furcraea necrotic streak virus,ssRNA(+),"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202005235,
5170,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Machlomovirus,,Maize chlorotic mottle virus,ssRNA(+),"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202005237,
5171,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Panicovirus,,Cocksfoot mild mosaic virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005239,
5172,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Panicovirus,,Panicum mosaic virus,ssRNA(+),"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202005240,
5173,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Panicovirus,,Thin paspalum asymptomatic virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005241,
5174,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Pelarspovirus,,Clematis chlorotic mottle virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202006290,
5175,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Pelarspovirus,,Elderberry latent virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005243,
5176,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Pelarspovirus,,Jasmine mosaic-associated virus,ssRNA(+),"New,",36,2020.033P.R.Pelarspovirus_2nsp.zip,ICTVonline=202009876,
5177,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Pelarspovirus,,Jasmine virus H,ssRNA(+),"New,",36,2020.033P.R.Pelarspovirus_2nsp.zip,ICTVonline=202009875,
5178,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Pelarspovirus,,Pelargonium chlorotic ring pattern virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005244,
5179,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Pelarspovirus,,Pelargonium line pattern virus,ssRNA(+),"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202005245,
5180,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Pelarspovirus,,Pelargonium ringspot virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005246,
5181,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Pelarspovirus,,Rosa rugosa leaf distortion virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005247,
5182,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Tombusvirus,,Artichoke mottled crinkle virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005249,
5183,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Tombusvirus,,Carnation Italian ringspot virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005250,
5184,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Tombusvirus,,Cucumber Bulgarian latent virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005251,
5185,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Tombusvirus,,Cucumber necrosis virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005252,
5186,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Tombusvirus,,Cymbidium ringspot virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005253,
5187,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Tombusvirus,,Eggplant mottled crinkle virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005254,
5188,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Tombusvirus,,Grapevine Algerian latent virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005255,
5189,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Tombusvirus,,Havel River virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005256,
5190,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Tombusvirus,,Lato River virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005257,
5191,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Tombusvirus,,Limonium flower distortion virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005258,
5192,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Tombusvirus,,Moroccan pepper virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005259,
5193,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Tombusvirus,,Neckar River virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005260,
5194,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Tombusvirus,,Pelargonium leaf curl virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005261,
5195,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Tombusvirus,,Pelargonium necrotic spot virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005262,
5196,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Tombusvirus,,Petunia asteroid mosaic virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005263,
5197,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Tombusvirus,,Sikte waterborne virus,ssRNA(+),"Renamed,",36,2019.006G.zip,ICTVonline=202005264,
5198,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Tombusvirus,,Tomato bushy stunt virus,ssRNA(+),"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202005265,
5199,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,Zeavirus,,Maize necrotic streak virus,ssRNA(+),"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202005284,
5200,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,,,Ahlum waterborne virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005277,
5201,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,,,Bean mild mosaic virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005278,
5202,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,,,Chenopodium necrosis virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005279,
5203,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,,,Cucumber soil-borne virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005280,
5204,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,,,Trailing lespedeza virus 1,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005281,
5205,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Procedovirinae,,,Weddel waterborne virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005282,
5206,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Regressovirinae,Dianthovirus,,Carnation ringspot virus,ssRNA(+),"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202005224,
5207,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Regressovirinae,Dianthovirus,,Red clover necrotic mosaic virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005225,
5208,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,Regressovirinae,Dianthovirus,,Sweet clover necrotic mosaic virus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202005226,
5209,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,,Luteovirus,,Apple associated luteovirus,ssRNA(+),"Moved,",36,2020.026P.R.Abolish_Luteoviridae.zip,ICTVonline=202007550,
5210,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,,Luteovirus,,Apple luteovirus 1,ssRNA(+),"Moved,",36,2020.026P.R.Abolish_Luteoviridae.zip,ICTVonline=202007551,
5211,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,,Luteovirus,,Barley yellow dwarf virus kerII,ssRNA(+),"Moved,",36,2020.026P.R.Abolish_Luteoviridae.zip,ICTVonline=202003765,
5212,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,,Luteovirus,,Barley yellow dwarf virus kerIII,ssRNA(+),"Moved,",36,2020.026P.R.Abolish_Luteoviridae.zip,ICTVonline=202003766,
5213,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,,Luteovirus,,Barley yellow dwarf virus MAV,ssRNA(+),"Moved,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202003767,
5214,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,,Luteovirus,,Barley yellow dwarf virus PAS,ssRNA(+),"Moved,",36,2020.026P.R.Abolish_Luteoviridae.zip,ICTVonline=202003768,
5215,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,,Luteovirus,,Barley yellow dwarf virus PAV,ssRNA(+),"Moved,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202003769,
5216,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,,Luteovirus,,Bean leafroll virus,ssRNA(+),"Moved,",36,2020.026P.R.Abolish_Luteoviridae.zip,ICTVonline=202003770,
5217,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,,Luteovirus,,Cherry associated luteovirus,ssRNA(+),"Moved,",36,2020.026P.R.Abolish_Luteoviridae.zip,ICTVonline=202006618,
5218,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,,Luteovirus,,Nectarine stem pitting associated virus,ssRNA(+),"Moved,",36,2020.026P.R.Abolish_Luteoviridae.zip,ICTVonline=202006615,
5219,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,,Luteovirus,,Red clover associated luteovirus,ssRNA(+),"Moved,",36,2020.026P.R.Abolish_Luteoviridae.zip,ICTVonline=202007552,
5220,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,,Luteovirus,,Rose spring dwarf-associated virus,ssRNA(+),"Moved,",36,2020.026P.R.Abolish_Luteoviridae.zip,ICTVonline=202003771,
5221,Riboviria,,Orthornavirae,,Kitrinoviricota,,Tolucaviricetes,,Tolivirales,,Tombusviridae,,Luteovirus,,Soybean dwarf virus,ssRNA(+),"Moved,",36,2020.026P.R.Abolish_Luteoviridae.zip,ICTVonline=202003772,
5222,Riboviria,,Orthornavirae,,Lenarviricota,,Amabiliviricetes,,Wolframvirales,,Narnaviridae,,Narnavirus,,Saccharomyces 20S RNA narnavirus,ssRNA(+),"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202003917,
5223,Riboviria,,Orthornavirae,,Lenarviricota,,Amabiliviricetes,,Wolframvirales,,Narnaviridae,,Narnavirus,,Saccharomyces 23S RNA narnavirus,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202003918,
5224,Riboviria,,Orthornavirae,,Lenarviricota,,Howeltoviricetes,,Cryppavirales,,Mitoviridae,,Mitovirus,,Cryphonectria mitovirus 1,ssRNA(+),"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202003911,
5225,Riboviria,,Orthornavirae,,Lenarviricota,,Howeltoviricetes,,Cryppavirales,,Mitoviridae,,Mitovirus,,Ophiostoma mitovirus 4,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202003912,
5226,Riboviria,,Orthornavirae,,Lenarviricota,,Howeltoviricetes,,Cryppavirales,,Mitoviridae,,Mitovirus,,Ophiostoma mitovirus 5,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202003913,
5227,Riboviria,,Orthornavirae,,Lenarviricota,,Howeltoviricetes,,Cryppavirales,,Mitoviridae,,Mitovirus,,Ophiostoma mitovirus 6,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202003914,
5228,Riboviria,,Orthornavirae,,Lenarviricota,,Howeltoviricetes,,Cryppavirales,,Mitoviridae,,Mitovirus,,Ophiostoma mitovirus 3a,ssRNA(+),"Moved,",35,2019.006G.zip,ICTVonline=202003915,
5229,Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Andhevirus,,Andhevirus chorohabitans,ssRNA(+),"New,",36,2020.095B.R.Leviviricetes.zip,ICTVonline=202010696,
5230,Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Apihcavirus,,Apihcavirus arvenecus,ssRNA(+),"New,",36,2020.095B.R.Leviviricetes.zip,ICTVonline=202010699,
5231,Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Apihcavirus,,Apihcavirus borborovicinum,ssRNA(+),"New,",36,2020.095B.R.Leviviricetes.zip,ICTVonline=202010698,
5232,Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Arihsbuvirus,,Arihsbuvirus caenadaptatum,ssRNA(+),"New,",36,2020.095B.R.Leviviricetes.zip,ICTVonline=202010701,
5233,Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bahdevuvirus,,Bahdevuvirus caenivivens,ssRNA(+),"New,",36,2020.095B.R.Leviviricetes.zip,ICTVonline=202010703,
5234,Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bahdevuvirus,,Bahdevuvirus limadaptatum,ssRNA(+),"New,",36,2020.095B.R.Leviviricetes.zip,ICTVonline=202010704,
