"ICTVnames","NCBInames","ExemplarOrAdditional","GenBankIDs","RefSeqIDs"
"Common bean mottle virus","common bean mottle virus","E","DNA-A: KX011473; DNA-B: KX011474","DNA-A: NC_038988"
"Common bean severe mosaic virus","common bean severe mosaic virus","E","DNA-A: KX011477; DNA-B: KX096982","DNA-B: NC_040190"
"Corchorus golden mosaic virus","Corchorus golden mosaic virus","E","DNA-A: DQ641688; DNA-B: DQ641689","DNA-A: NC_009644; DNA-B: NC_009646"
"Corchorus yellow spot virus","Corchorus yellow spot virus","E","DNA-A: DQ875868; DNA-B: DQ875869","DNA-A: NC_008492; DNA-B: NC_008493"
"Corchorus yellow vein Cuba virus","Corchorus yellow vein Cuba virus","E","DNA-A: MF773912; DNA-B: MF773902","zero"
"Corchorus yellow vein mosaic virus","Corchorus yellow vein mosaic virus","E","KC223600","NC_020473"
"Corchorus yellow vein virus","Corchorus yellow vein virus","E","DNA-A: AY727903; DNA-B: AY727904","DNA-A: NC_006358; DNA-B: NC_006359"
"Cotton chlorotic spot virus","cotton chlorotic spot virus","E","DNA-A: KF358470; DNA-B: KF358471","DNA-A: NC_038794; DNA-B: NC_038795"
"Cotton leaf crumple virus","cotton leaf crumple virus","E","DNA-A: AF480940; DNA-B: AF480941","DNA-A: NC_004580; DNA-B: NC_004581"
"Cotton leaf curl Alabad virus","cotton leaf curl Alabad virus","E","DNA-A: AJ002455","DNA-A: NC_004582"
"Cotton leaf curl Bangalore virus","cotton leaf curl Bangalore virus","E","DNA-A: AY705380","DNA-A: NC_007290"
"Cotton leaf curl Barasat virus","cotton leaf curl Barasat virus","E","DNA-A: LC080677","DNA-A: NC_039003"
"Cotton leaf curl Gezira virus","cotton leaf curl Gezira virus","E","DNA-A: AF260241","DNA-A: NC_038444"
"Cotton leaf curl Kokhran virus","cotton leaf curl Kokhran virus","E","DNA-A: AJ002449","DNA-A: NC_004583"
"Cotton leaf curl Multan virus","cotton leaf curl Multan virus","E","DNA-A: EU365613","DNA-A: NC_011804"
"Cotton yellow mosaic virus","cotton yellow mosaic virus","E","DNA-A: KU683748; DNA-B: KU683750","zero"
"Cowpea bright yellow mosaic virus","cowpea bright yellow mosaic virus","E","DNA-A: MH469731; DNA-B: MH469732","zero"
"Cowpea golden mosaic virus","cowpea golden mosaic virus","E","DNA-A: AF029217","DNA-A: NC_038445"
"Crassocephalum yellow vein virus","Crassocephalum yellow vein virus","E","EF165536","NC_008794"
"Croton golden mosaic virus","Croton golden mosaic virus","E","DNA-A: KX156613; DNA-B: KX156614","zero"
"Croton yellow vein mosaic virus","croton yellow vein mosaic virus","E","AJ507777","NC_004300"
"Cucumber chlorotic leaf virus","cucumber chlorotic leaf virus","E","DNA-A: MN013786; DNA-B: MN013787","zero"
"Cucurbit leaf crumple virus","cucurbit leaf crumple virus","E","DNA-A: AF224760; DNA-B: AF224761","DNA-A: NC_002984; DNA-B: NC_002985"
"Dalechampia chlorotic mosaic virus","Dalechampia chlorotic mosaic virus","E","DNA-A: JN848775; DNA-B: JN848776","DNA-A: NC_018716; DNA-B: NC_018718"
"Datura leaf curl virus","Datura leaf curl virus","E","MF402918","NC_043531"
"Datura leaf distortion virus","Datura leaf distortion virus","E","DNA-A: JN848773; DNA-B: JN848774","DNA-A: NC_018717; DNA-B: NC_018715"
"Deinbollia mosaic virus","Deinbollia mosaic virus","E","DNA-A: KT878829; DNA-B: KT878828","DNA-A: NC_029804; DNA-B: NC_029803"
"Desmodium leaf distortion virus","Desmodium leaf distortion virus","E","DNA-A: DQ875870; DNA-B: DQ875871","DNA-A: NC_008494; DNA-B: NC_008495"
"Desmodium mottle virus","Desmodium mottle virus","E","DNA-A: KY294725; DNA-B: KY294727","DNA-A: NC_039001"
"Dicliptera yellow mottle Cuba virus","Dicliptera yellow mottle Cuba virus","E","DNA-A: AJ549960","zero"
"Dicliptera yellow mottle virus","Dicliptera yellow mottle virus","E","DNA-A: AF139168; DNA-B: AF170101","DNA-A: NC_003856; DNA-B: NC_003857"
"Dolichos yellow mosaic virus","Dolichos yellow mosaic virus","E","DNA-A: AY271891","zero"
"Duranta leaf curl virus","Duranta leaf curl virus","E","DNA-A: KT948069","DNA-A: NC_038980"
"East African cassava mosaic Cameroon virus","East African cassava mosaic Cameroon virus","E","DNA-A: AF112354; DNA-B: AF112355","DNA-A: NC_004625; DNA-B: NC_004630"
"East African cassava mosaic Kenya virus","East African cassava mosaic Kenya virus","E","DNA-A: AJ717572; DNA-B: AJ704971","DNA-A: NC_011583; DNA-B: NC_011584"
"East African cassava mosaic Malawi virus","East African cassava mosaic Malawi virus","E","DNA-A: AJ006460","DNA-A: NC_038877"
"East African cassava mosaic virus","East African cassava mosaic virus","E","DNA-A: AF126806; DNA-B: AF126807","DNA-A: NC_004674; DNA-B: NC_004676"
"East African cassava mosaic Zanzibar virus","East African cassava mosaic Zanzibar virus","E","DNA-A: AF422174; DNA-B: AF422175","DNA-A: NC_004655; DNA-B: NC_004656"
"Eclipta yellow vein virus","Eclipta yellow vein virus","E","KT390456","zero"
"Emilia yellow vein Fujian virus","Emilia yellow vein Fujian virus","E","MH035670","zero"
"Emilia yellow vein Thailand virus","Emilia yellow vein Thailand virus","E","KY373213","NC_035473"
"Emilia yellow vein virus","Emilia yellow vein virus","E","EU377539","NC_010307"
"Erectites yellow mosaic virus","Erectites yellow mosaic virus","E","DNA-A: DQ641698","DNA-A: NC_009549"
"Eupatorium yellow vein mosaic virus","Eupatorium yellow vein mosaic virus","E","AJ438937","NC_038879"
"Eupatorium yellow vein virus","Eupatorium yellow vein virus","E","AB007990","NC_003556"
"Euphorbia leaf curl Guangxi virus","Euphorbia leaf curl Guangxi virus","E","AM411424","NC_038881"
"Euphorbia leaf curl virus","Euphorbia leaf curl virus","E","DNA-A: AJ558121","DNA-A: NC_005319"
"Euphorbia mosaic Peru virus","Euphorbia mosaic Peru virus","E","DNA-A: AM886131","DNA-A: NC_039082"
"Euphorbia mosaic virus","Euphorbia mosaic virus","E","DNA-A: DQ318937; DNA-B: DQ318938","DNA-A: NC_008304; DNA-B: NC_008305"
"Euphorbia yellow leaf curl virus","Euphorbia yellow leaf curl virus","E","KT159766","NC_038976"
"Euphorbia yellow mosaic virus","Euphorbia yellow mosaic virus","E","DNA-A: FJ619507; DNA-B: FJ619508","DNA-A: NC_012553; DNA-B: NC_012554"
"French bean leaf curl virus","French bean leaf curl virus","E","DNA-A: JQ866297","DNA-A: NC_018090"
"Hedyotis uncinella yellow mosaic virus","Hedyotis uncinella yellow mosaic virus","E","DNA-A: KF429251","DNA-A: NC_038448"
"Hemidesmus yellow mosaic virus","Hemidesmus yellow mosaic virus","E","DNA-A: KC898543","DNA-A: NC_022073"
"Hibiscus golden mosaic virus","Hibiscus golden mosaic virus","E","DNA-A: MK558061; DNA-B: MK558062","zero"
"Hibiscus yellow vein leaf curl virus","Hibiscus yellow vein leaf curl virus","E","MF140451","zero"
"Hollyhock leaf curl virus","hollyhock leaf curl virus","E","FR772082","NC_038884"
"Hollyhock yellow vein mosaic virus","hollyhock yellow vein mosaic virus","E","JQ911766","zero"
"Hollyhock yellow vein virus","hollyhock yellow vein virus","E","MG373552","zero"
"Honeysuckle yellow vein virus","honeysuckle yellow vein virus","E","AJ542540","NC_005807"
"Horsegram yellow mosaic virus","horsegram yellow mosaic virus","E","DNA-A: AJ627904; DNA-B: AJ627905","DNA-A: NC_005635; DNA-B: NC_005636"
"Hybanthus yellow mosaic virus","Hybanthus yellow mosaic virus","E","DNA-A: KX156609; DNA-B: KX156610","zero"
"Indian cassava mosaic virus","Indian cassava mosaic virus","E","DNA-A: Z24758; DNA-B: Z24759","DNA-A: NC_001932; DNA-B: NC_001933"
"Jacquemontia mosaic Yucatan virus","Jacquemontia mosaic Yucatan virus","E","DNA-A: JQ821386; DNA-B: JQ821387","DNA-A: NC_038796; DNA-B: NC_038797"
"Jacquemontia yellow mosaic virus","Jacquemontia yellow mosaic virus","E","DNA-A: KF661331; DNA-B: KF661332","DNA-A: NC_038960"
"Jacquemontia yellow vein virus","Jacquemontia yellow vein virus","E","DNA-A: KY617094; DNA-B: KY617095","NC_043526"
"Jatropha leaf curl Gujarat virus","Jatropha leaf curl Gujarat virus","E","KM411359","NC_038962"
"Jatropha leaf curl virus","Jatropha leaf curl virus","E","DNA-A: EU798996","DNA-A: NC_011268"
"Jatropha leaf yellow mosaic virus","Jatropha leaf yellow mosaic virus","E","DNA-A: JN698954","DNA-A: NC_038956"
"Jatropha mosaic India virus","Jatropha mosaic India virus","E","DNA-A: HM230683","DNA-A: NC_038449"
"Jatropha mosaic Nigeria virus","Jatropha mosaic Nigeria virus","E","DNA-A: JX025358","DNA-A: NC_019034"
"Jatropha mosaic virus","Jatropha mosaic virus","E","DNA-A: KF723258; DNA-B: KF723261","DNA-A: NC_024012; DNA-B: NC_024013"
"Jatropha yellow mosaic virus","Jatropha yellow mosaic virus","E","DNA-A: FJ177030","DNA-A: NC_011309"
"Kudzu mosaic virus","kudzu mosaic virus","E","DNA-A: DQ641690; DNA-B: DQ641691","DNA-A: NC_009645; DNA-B: NC_009647"
"Leonurus mosaic virus","Leonurus mosaic virus","E","DNA-A: JQ429791","DNA-A: NC_038450"
"Lindernia anagallis yellow vein virus","Lindernia anagallis yellow vein virus","E","DNA-A: DQ641701","DNA-A: NC_009550"
"Lisianthus enation leaf curl virus","Lisianthus enation leaf curl virus","E","DNA-A: LC091538","DNA-A: NC_031466"
"Ludwigia yellow vein Vietnam virus","Ludwigia yellow vein Vietnam virus","E","DNA-A: DQ641699","DNA-A: NC_038451"
"Ludwigia yellow vein virus","Ludwigia yellow vein virus","E","DNA-A: AJ965539","DNA-A: NC_007210"
"Luffa yellow mosaic virus","Luffa yellow mosaic virus","E","DNA-A: AF509739; DNA-B: AF509740","DNA-A: NC_004824; DNA-B: NC_004825"
"Lycianthes yellow mosaic virus","Lycianthes yellow mosaic virus","E","DNA-A: KT582302; DNA-B: KT582303","DNA-A: NC_038978"
"Macroptilium bright mosaic virus","Macroptilium bright mosaic virus","E","DNA-A: KX691400","DNA-A: NC_031452"
"Macroptilium common mosaic virus","Macroptilium common mosaic virus","E","DNA-A: KX691396; DNA-B: KX691412","DNA-A: NC_031448; DNA-B: NC_031453"
"Macroptilium golden mosaic virus","Macroptilium golden mosaic virus","E","DNA-A: EU158096; DNA-B: EU158097","DNA-A: NC_010952; DNA-B: NC_010953"
"Macroptilium mosaic Puerto Rico virus","Macroptilium mosaic Puerto Rico virus","E","DNA-A: AY044133; DNA-B: AY044134","DNA-A: NC_004097; DNA-B: NC_004098"
"Macroptilium yellow mosaic Florida virus","Macroptilium yellow mosaic Florida virus","E","DNA-A: AY044135; DNA-B: AY044136","DNA-A: NC_004099; DNA-B: NC_004100"
"Macroptilium yellow mosaic virus","Macroptilium yellow mosaic virus","E","DNA-A: EF585290; DNA-B: EF585291","DNA-A: NC_010647; DNA-B: NC_010648"
"Macroptilium yellow spot virus","Macroptilium yellow spot virus","E","DNA-A: JN419013","DNA-A: NC_016999"
"Macroptilium yellow vein virus","Macroptilium yellow vein virus","E","DNA-A: JN419021","DNA-A: NC_017000"
"Malvastrum bright yellow mosaic virus","Malvastrum bright yellow mosaic virus","E","DNA-A: KU058856; DNA-B: KU058860","DNA-A: NC_031458; DNA-B: NC_031459"
"Malvastrum leaf curl Philippines virus","Malvastrum leaf curl Philippines virus","E","DNA-A: KC577540","DNA-A: NC_021245"
"Malvastrum leaf curl virus","Malvastrum leaf curl virus","E","DNA-A: AJ971263","DNA-A: NC_007724"
"Malvastrum yellow mosaic Helshire virus","Malvastrum yellow mosaic Helshire virus","E","DNA-A: FJ600483","DNA-A: NC_038452"
"Malvastrum yellow mosaic Jamaica virus","Malvastrum yellow mosaic Jamaica virus","E","DNA-A: FJ601917; DNA-B: FJ600484","DNA-A: NC_038798; DNA-B: NC_038799"
"Malvastrum yellow mosaic virus","Malvastrum yellow mosaic virus","E","DNA-A: AM236755","DNA-A: NC_008559"
"Malvastrum yellow vein Cambodia virus","Malvastrum yellow vein Cambodia virus","E","DNA-A: KP188831","DNA-A: NC_026763"
"Malvastrum yellow vein Honghe virus","Malvastrum yellow vein Honghe virus","E","DNA-A: FN552749","DNA-A: NC_030749"
"Malvastrum yellow vein Lahore virus","Malvastrum yellow vein Lahore virus","E","MF683828","zero"
"Malvastrum yellow vein virus","Malvastrum yellow vein virus","E","AJ457824","NC_004634"
"Malvastrum yellow vein Yunnan virus","Malvastrum yellow vein Yunnan virus","E","AJ786711","NC_006631"
"Melochia mosaic virus","Melochia mosaic virus","E","DNA-A: KT201151; DNA-B: KT201152","DNA-A: NC_028140; DNA-B: NC_028141"
"Melochia yellow mosaic virus","Melochia yellow mosaic virus","E","DNA-A: KT201153; DNA-B: KT201154","DNA-A: NC_028142; DNA-B: NC_028143"
"Melon chlorotic leaf curl virus","melon chlorotic leaf curl virus","E","DNA-A: AY064391; DNA-B: AF440790","DNA-A: NC_003865; DNA-B: NC_003860"
"Melon chlorotic mosaic virus","melon chlorotic mosaic virus","E","DNA-A: HM163576; DNA-B: HM163577","DNA-A: NC_014380; DNA-B: NC_014381"
"Melon yellow mosaic virus","melon yellow mosaic virus","E","MH665365","zero"
"Merremia mosaic Puerto Rico virus","Merremia mosaic Puerto Rico virus","E","DNA-A: FJ944021; DNA-B: FJ944022","DNA-A: NC_015490; DNA-B: NC_015491"
"Merremia mosaic virus","Merremia mosaic virus","E","DNA-A: AF068636; DNA-B: AY965899","DNA-A: NC_007965; DNA-B: NC_007966"
"Mesta yellow vein mosaic Bahraich virus","Mesta yellow vein mosaic Bahraich virus","E","DNA-A: EU360303","DNA-A: NC_010818"
"Mimosa yellow leaf curl virus","Mimosa yellow leaf curl virus","E","DNA-A: DQ641695","DNA-A: NC_009546"
"Mirabilis leaf curl virus","Mirabilis leaf curl virus","E","LK054801","NC_024491"
"Mungbean yellow mosaic India virus","mungbean yellow mosaic India virus","E","DNA-A: AF126406; DNA-B: AF142440","DNA-A: NC_004608; DNA-B: NC_004609"
"Mungbean yellow mosaic virus","mungbean yellow mosaic virus","E","DNA-A: D14703; DNA-B: D14704","DNA-A: NC_001983; DNA-B: NC_001984"
"Ocimum golden mosaic virus","Ocimum golden mosaic virus","E","DNA-A: MN313661; DNA-B: MN313660","zero"
"Ocimum mosaic virus","Ocimum mosaic virus","E","DNA-A: MN313669; DNA-B: MN313668","zero"
"Ocimum yellow vein virus","Ocimum yellow vein virus","E","DNA-A: MN313667; DNA-B: MN313666","zero"
"Okra enation leaf curl virus","okra enation leaf curl virus","E","DNA-A: GU111998","DNA-A: NC_014894"
"Okra leaf curl Oman virus","okra leaf curl Oman virus","E","HE862273","NC_028985"
"Okra mottle virus","okra mottle virus","E","DNA-A: EU914817; DNA-B: EU914818","DNA-A: NC_011181; DNA-B: NC_011182"
"Okra yellow crinkle virus","okra yellow crinkle virus","E","DNA-A: DQ875879","DNA-A: NC_008377"
"Okra yellow mosaic Mexico virus","okra yellow mosaic Mexico virus","E","DNA-A: DQ022611; DNA-B: GU972604","DNA-A: NC_014066; DNA-B: NC_014067"
"Oxalis yellow vein virus","Oxalis yellow vein virus","E","DNA-A: KM887907","DNA-A: NC_026253"
"Papaya leaf crumple virus","papaya leaf crumple virus","E","DNA-A: HM140367","DNA-A: NC_014707"
"Papaya leaf curl China virus","papaya leaf curl China virus","E","DNA-A: AJ558124","DNA-A: NC_005321"
"Papaya leaf curl Guandong virus","papaya leaf curl Guandong virus","E","DNA-A: AJ558122","DNA-A: NC_005844"
"Papaya leaf curl virus","papaya leaf curl virus","E","Y15934","NC_004147"
"Papaya severe leaf curl virus 1","papaya severe leaf curl virus 1","E","MH988457","zero"
"Papaya severe leaf curl virus 2","papaya severe leaf curl virus 2","E","MH988458","zero"
"Papaya yellow leaf curl virus","papaya yellow leaf curl virus","E","MH807204","zero"
"Passionfruit leaf curl virus","passionfruit leaf curl virus","E","MK087124","zero"
"Passionfruit leaf distortion virus","passionfruit leaf distortion virus","E","DNA-A: KT899302; DNA-B: KT899303","DNA-A: NC_031764; DNA-B: NC_031765"
"Passionfruit severe leaf distortion virus","passionfruit severe leaf distortion virus","E","DNA-A: FJ972767; DNA-B: FJ972768","DNA-A: NC_012786; DNA-B: NC_012787"
"Pavonia mosaic virus","Pavonia mosaic virus","E","DNA-A: KT948785; DNA-B: KT948786","DNA-A: NC_038981"
"Pavonia yellow mosaic virus","Pavonia yellow mosaic virus","E","DNA-A: KT948787; DNA-B: KT948788","DNA-A: NC_029105; DNA-B: NC_037611"
"Pea leaf distortion virus","pea leaf distortion virus","E","DNA-A: KY001635","DNA-A: NC_033554"
"Pedilanthus leaf curl virus","Pedilenthus leaf curl virus","E","AM712436","NC_012118"
"Pepper blistering leaf virus","pepper blistering leaf virus","E","DNA-A: MN518737; DNA-B: MN518739","zero"
"Pepper golden mosaic virus","pepper golden mosaic virus","E","DNA-A: U57457; DNA-B: AF499442","DNA-A: NC_004101; DNA-B: NC_004096"
"Pepper huasteco yellow vein virus","pepper huasteco yellow vein virus","E","DNA-A: X70418; DNA-B: X70419","DNA-A: NC_001359; DNA-B: NC_001369"
"Pepper leaf curl Bangladesh virus","pepper leaf curl Bangladesh virus","E","DNA-A: AF314531","DNA-A: NC_004192"
"Pepper leaf curl Lahore virus","pepper leaf curl Lahore virus","E","DNA-A: JN135234","zero"
"Pepper leaf curl virus","pepper leaf curl virus","E","AF134484","NC_000882"
"Pepper leaf curl Yunnan virus","pepper leaf curl Yunnan virus","E","EU585781","NC_010618"
"Pepper leafroll virus","pepper leafroll virus","E","DNA-A: KC769819; DNA-B: KC769820","NC_043517"
"Pepper yellow leaf curl Aceh virus","pepper yellow leaf curl Aceh virus","E","DNA-A: LC387327; DNA-B: LC387329","zero"
"Pepper yellow leaf curl Indonesia virus","pepper yellow leaf curl Indonesia virus","E","DNA-A: AB267834; DNA-B: AB267835","DNA-A: NC_008283; DNA-B: NC_008284"
"Pepper yellow leaf curl Indonesia virus 2","pepper yellow leaf curl Indonesia virus 2","E","KT809345","zero"
"Pepper yellow leaf curl Thailand virus","pepper yellow leaf curl Thailand virus","E","DNA-A: KX943290; DNA-B: KX943291","DNA-B: NC_040186"
"Pepper yellow leaf curl virus","pepper yellow leaf curl virus","E","KC149938","NC_020236"
"Pepper yellow vein Mali virus","pepper yellow vein Mali virus","E","AY502935","NC_005347"
"Polygala garcinii virus","Polygala garcinii virus","E","MG001959","NC_037068"
"Potato yellow mosaic Panama virus","potato yellow mosaic Panama virus","E","DNA-A: Y15034; DNA-B: Y15033","DNA-A: NC_002048; DNA-B: NC_002049"
"Potato yellow mosaic virus","potato yellow mosaic virus","E","DNA-A: D00940; DNA-B: D00941","DNA-A: NC_001934; DNA-B: NC_001935"
"Pouzolzia golden mosaic virus","Pouzolzia golden mosaic virus","E","DNA-A: JX183732","DNA-A: NC_023849"
"Pouzolzia mosaic Guangdong virus","Pouzolzia mosaic Guangdong virus","E","DNA-A: KF414123","DNA-A: NC_038453"
"Pouzolzia yellow mosaic virus","Pouzolzia yellow mosaic virus","E","KF927128","zero"
"Premna leaf curl virus","Premna leaf curl virus","E","DNA-A: JQ793786","DNA-A: NC_038454"
"Pumpkin yellow mosaic virus","pumpkin yellow mosaic virus","E","DNA-A: EF197941","DNA-A: NC_010946"
"Ramie mosaic Yunnan virus","ramie mosaic Yunnan virus","E","DNA-A: KU522485","DNA-A: NC_030699"
"Rhynchosia golden mosaic Havana virus","Rhynchosia golden mosaic Havana virus","E","DNA-A: HM236368; DNA-B: HM236369","DNA-A: NC_038800; DNA-B: NC_038801"
"Rhynchosia golden mosaic Sinaloa virus","Rhynchosia golden mosaic Sinaloa virus","E","DNA-A: DQ406672; DNA-B: DQ406673","DNA-A: NC_038802; DNA-B: NC_038803"
"Rhynchosia golden mosaic virus","Rhynchosia golden mosaic virus","E","DNA-A: DQ347950; DNA-B: EU339937","DNA-A: NC_037306; DNA-B: NC_037305"
"Rhynchosia mild mosaic virus","Rhynchosia mild mosaic virus","E","DNA-A: FJ944019; DNA-B: FJ944020","DNA-A: NC_015488; DNA-B: NC_015489"
"Rhynchosia rugose golden mosaic virus","Rhynchosia rugose golden mosaic virus","E","DNA-A: HM236370; DNA-B: HM236371","DNA-A: NC_038805; DNA-B: NC_038804"
"Rhynchosia yellow mosaic India virus","Rhynchosia yellow mosaic India virus","E","DNA-A: HM777508; DNA-B: HM777510","DNA-A: NC_014902; DNA-B: NC_014903"
"Rhynchosia yellow mosaic virus","Rhynchosia yellow mosaic virus","E","DNA-A: AM999981; DNA-B: AM999982","DNA-A: NC_038885; DNA-B: NC_038886"
"Rose leaf curl virus","rose leaf curl virus","E","KJ739692","NC_024687"
"Sauropus leaf curl virus","Sauropus leaf curl virus","E","DNA-A: JN809819","DNA-A: NC_038455"
"Senecio yellow mosaic virus","Senecio yellow mosaic virus","E","AJ876550","NC_006995"
"Senna leaf curl virus","Senna leaf curl virus","E","KU852742","NC_030748"
"Sida angular mosaic virus","Sida angular mosaic virus","E","DNA-A: KX691407; DNA-B: KX691415","DNA-A: NC_031456; DNA-B: NC_031457"
"Sida bright yellow mosaic virus","Sida bright yellow mosaic virus","E","DNA-A: KX348184; DNA-B: KX348225","DNA-A: NC_038991"
"Sida chlorotic leaf virus","Sida chlorotic leaf virus","E","DNA-A: MN013784; DNA-B: MN013785","zero"
"Sida chlorotic mottle virus","Sida chlorotic mottle virus","E","DNA-A: KX348183","DNA-A: NC_038990"
"Sida chlorotic vein virus","Sida chlorotic vein virus","E","DNA-A: KX691402; DNA-B: KX691413","DNA-A: NC_031455; DNA-B: NC_031454"
"Sida ciliaris golden mosaic virus","Sida ciliaris golden mosaic virus","E","DNA-A: JX857691; DNA-B: JX857692","DNA-A: NC_038456; DNA-B: NC_049200"
"Sida common mosaic virus","Sida common mosaic virus","E","EU710751","NC_038457"
"Sida golden mosaic Braco virus","Sida golden mosaic Braco virus","E","JX162595","NC_038458"
"Sida golden mosaic Brazil virus","Sida golden mosaic Brazil virus","E","DNA-A: FN436001","DNA-A: NC_038887"
"Sida golden mosaic Buckup virus","Sida golden mosaic Buckup virus","E","DNA-A: HQ008338; DNA-B: HQ009518","DNA-A: NC_014794; DNA-B: NC_014795"
"Sida golden mosaic Costa Rica virus","Sida golden mosaic Costa Rica virus","E","DNA-A: X99550; DNA-B: X99551","DNA-A: NC_004657; DNA-B: NC_004658"
"Sida golden mosaic Florida virus","Sida golden mosaic Florida virus","E","DNA-A: HM003779; DNA-B: HM003778","DNA-A: NC_014446; DNA-B: NC_014447"
"Sida golden mosaic Lara virus","Sida golden mosaic Lara virus","E","DNA-A: JX857693","DNA-A: NC_038459"
"Sida golden mosaic virus","Sida golden mosaic virus","E","DNA-A: AF049336; DNA-B: AF039841","DNA-A: NC_002046; DNA-B: NC_002047"
"Sida golden mottle virus","Sida golden mottle virus","E","DNA-A: GU997691; DNA-B: GU997692","DNA-A: NC_014130; DNA-B: NC_014128"
"Sida golden yellow spot virus","Sida golden yellow spot virus","E","KX348185","NC_038992"
"Sida golden yellow vein virus","Sida golden yellow vein virus","E","U77964","NC_038460"
"Sida interveinal bright yellow virus","Sida interveinal bright yellow virus","E","DNA-A: MN746033; DNA-B: MN419243","zero"
"Sida leaf curl virus","Sida leaf curl virus","E","AM050730","NC_007638"
"Sida micrantha mosaic virus","Sida micrantha mosaic virus","E","DNA-A: AJ557451; DNA-B: AJ557453","DNA-A: NC_005330; DNA-B: NC_005331"
"Sida mosaic Alagoas virus","Sida mosaic Alagoas virus","E","DNA-A: JF694471; DNA-B: JF694473","DNA-A: NC_016573; DNA-B: NC_016579"
"Sida mosaic Bolivia virus 1","Sida mosaic Bolivia virus 1","E","DNA-A: HM585441; DNA-B: HM585442","DNA-A: NC_015046; DNA-B: NC_015044"
"Sida mosaic Bolivia virus 2","Sida mosaic Bolivia virus 2","E","DNA-A: HM585443; DNA-B: HM585444","DNA-A: NC_015043; DNA-B: NC_015047"
"Sida mosaic Sinaloa virus","Sida mosaic Sinaloa virus","E","DNA-A: DQ520944; DNA-B: DQ356428","DNA-A: NC_008059; DNA-B: NC_008056"
"Sida mottle Alagoas virus","Sida mottle Alagoas virus","E","DNA-A: JX871385","DNA-A: NC_020256"
"Sida mottle virus","Sida mottle virus","E","DNA-A: AJ557450; DNA-B: AJ557454","zero"
"Sida yellow blotch virus","Sida yellow blotch virus","E","DNA-A: JX871380","DNA-A: NC_020254"
"Sida yellow golden mosaic virus","Sida yellow golden mosaic virus","E","DNA-A: MF163258; ADN-B: MF163259","zero"
"Sida yellow leaf curl virus","Sida yellow leaf curl virus","E","DNA-A: EU710750","DNA-A: NC_038461"
"Sida yellow mosaic Alagoas virus","Sida yellow mosaic Alagoas virus","E","DNA-A: JX871383","DNA-A: NC_020255"
"Sida yellow mosaic China virus","Sida yellow mosaic China virus","E","AM048837","NC_017987"
"Sida yellow mosaic virus","Sida yellow mosaic virus","E","DNA-A: AY090558","DNA-A: NC_004639"
"Sida yellow mosaic Yucatan virus","Sida yellow mosaic Yucatan virus","E","DNA-A: DQ875872; DNA-B: DQ875873","DNA-A: NC_008779; DNA-B: NC_008780"
"Sida yellow mottle virus","Sida yellow mottle virus","E","DNA-A: JN411687; DNA-B: JN411688","DNA-A: NC_016082; DNA-B: NC_016083"
"Sida yellow net virus","Sida yellow net virus","E","DNA-A: JX871376","DNA-A: NC_020253"
"Sida yellow vein Vietnam virus","Sida yellow vein Vietnam virus","E","DNA-A: DQ641696","DNA-A: NC_009547"
"Sida yellow vein virus","Sida yellow vein virus","E","DNA-A: Y11099; DNA-B: Y11100","DNA-A: NC_004661; DNA-B: NC_004662"
"Sidastrum golden leaf spot virus","Sidastrum golden leaf spot virus","E","DNA-A: HM357458","DNA-A: NC_038462"
"Siegesbeckia yellow vein Guangxi virus","Siegesbeckia yellow vein Guangxi virus","E","AM238692","NC_008317"
"Siegesbeckia yellow vein virus","Siegesbeckia yellow vein virus","E","AM183224","NC_008236"
"Solanum mosaic Bolivia virus","Solanum mosaic Bolivia virus","E","DNA-A: HM585435; DNA-B: HM585436","DNA-A: NC_024304; DNA-B: NC_024305"
"South African cassava mosaic virus","South African cassava mosaic virus","E","DNA-A: AF155806; DNA-B: AF155807","DNA-A: NC_003803; DNA-B: NC_003804"
"Soybean blistering mosaic virus","soybean blistering mosaic virus","E","DNA-A: EF016486","DNA-A: NC_038463"
"Soybean chlorotic blotch virus","soybean chlorotic blotch virus","E","DNA-A: GQ472985; DNA-B: GQ472986","DNA-A: NC_014141; DNA-B: NC_014142"
"Soybean mild mottle virus","soybean mild mottle virus","E","GQ472984","NC_014140"
"Spilanthes yellow vein virus","Spilanthes yellow vein virus","E","DNA-A: DQ641694","DNA-A: NC_009545"
"Spinach yellow vein virus","spinach yellow vein virus","E","KF660223","NC_023023"
"Squash leaf curl China virus","squash leaf curl China virus","E","DNA-A: AF509743; DNA-B: AF509742","DNA-A: NC_007339; DNA-B: NC_007338"
"Squash leaf curl Philippines virus","squash leaf curl Philippines virus","E","DNA-A: AB085793; DNA-B: AB085794","DNA-A: NC_005845; DNA-B: NC_005846"
"Squash leaf curl virus","squash leaf curl virus","E","DNA-A: M38183; DNA-B: M38182","DNA-A: NC_001936; DNA-B: NC_001937"
"Squash leaf curl Yunnan virus","squash leaf curl Yunnan virus","E","AJ420319","NC_004651"
"Squash mild leaf curl virus","squash mild leaf curl virus","E","DNA-A: AF421552; DNA-B: AF421553","DNA-A: NC_004645; DNA-B: NC_004646"
"Sri Lankan cassava mosaic virus","Sri Lankan cassava mosaic virus","E","DNA-A: AJ314737; DNA-B: AJ314738","DNA-A: NC_003861; DNA-B: NC_003862"
